"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R20","RES0603","339mil","3827.323mil","339mil","3827.323mil","339mil","3856.851mil","T","270.00","10k 0603"
"R19","RES0603","373mil","3569.614mil","373mil","3569.614mil","373mil","3599.142mil","T","270.00","10k 0603"
"C11","0603_Capacitor","48mil","3569.614mil","48mil","3569.614mil","48mil","3599.142mil","T","270.00","100n"
"B3","KMR221NGLFS","215mil","3567.646mil","215mil","3567.646mil","134.291mil","3536.15mil","T","0.00","Wakeup Button"
"R18","RES0603","1747.048mil","3052.618mil","1747.048mil","3052.618mil","1776.576mil","3052.618mil","T","180.00","1K"
"D6","LED","1865.115mil","3091.685mil","1872mil","3095mil","1865.115mil","3129.087mil","T","0.00","ORANGE"
"U2","ADXL345BCCZRL","923mil","1598mil","923mil","1598mil","879.811mil","1676.74mil","T","0.00","ADXL345BCCZ-RL"
"R15","RES0603","1568.19mil","2682mil","1568.19mil","2682mil","1597.717mil","2682mil","T","180.00","100K"
"R14","RES0603","1720mil","2682mil","1720mil","2682mil","1749.528mil","2682mil","T","180.00","330K"
"R13","RES0603","1720mil","2782.646mil","1720mil","2782.646mil","1749.528mil","2782.646mil","T","180.00","100K"
"R12","RES0603","1383mil","2601.716mil","1383mil","2601.716mil","1383mil","2631.244mil","T","270.00","100K"
"R11","RES0603","1449mil","2601.716mil","1449mil","2601.716mil","1449mil","2631.244mil","T","270.00","4K7"
"Q5","SOT96P237X111-3N","1720mil","2890mil","1720mil","2890mil","1682.402mil","2848.661mil","T","90.00","BSS48"
"Q4","SOT96P237X111-3N","1580mil","2782.646mil","1580mil","2782.646mil","1538.661mil","2820.244mil","T","0.00","2N7002,215"
"USB1","type_c","1700.311mil","3788.45mil","1685.394mil","3824mil","1826.292mil","3697.899mil","T","180.00","GT-USB-7010B"
"C9","0603_Capacitor","1953.74mil","2920.217mil","1953.74mil","2920.217mil","1953.74mil","2949.744mil","T","270.00","10u"
"C12","0603_Capacitor","2300mil","2764.902mil","2300mil","2764.902mil","2270.472mil","2764.902mil","T","0.00","1u"
"D3","i2c_display","655.791mil","829.248mil","630mil","819.646mil","505.791mil","1298.657mil","T","0.00","0.96" i2c Olded Display"
"U4","m.2","1886.937mil","321.978mil","2363.661mil","314.124mil","2363.315mil","205.836mil","T","180.00","Component_2"
"U8","RF_VHF_JAE_MM60-52B1-B1-R850_MM60-EZH039-B5-R850_w_2005_mPCIe_card","1882.874mil","2286.129mil","2375mil","2286.132mil","2347.441mil","2447.547mil","T","180.00","SWARM_M138_mPCIe_2.005"_VHF"
"B1","KMR221NGLFS","196.85mil","3825.354mil","196.85mil","3825.354mil","116.142mil","3793.858mil","T","0.00","Pairing Button"
"B2","KMR221NGLFS","1261.102mil","3825.354mil","1261.102mil","3825.354mil","1180.394mil","3793.858mil","T","0.00","Reset Button"
"C1","0603_Capacitor","469.681mil","1944.646mil","469.681mil","1944.646mil","440.153mil","1944.646mil","T","0.00","CAPC1608N-0.1UF"
"C2","0603_Capacitor","579.681mil","1944.646mil","579.681mil","1944.646mil","609.208mil","1944.646mil","T","180.00","CAPC1608N-0.1UF"
"C3","0603_Capacitor","469.681mil","1874.646mil","469.681mil","1874.646mil","440.153mil","1874.646mil","T","0.00","CAPC1608N-0.1UF"
"C4","0603_Capacitor","1447.5mil","3397.5mil","1447.5mil","3397.5mil","1477.028mil","3397.5mil","T","180.00","CAPC1608N-0.1UF"
"C5","0603_Capacitor","1095mil","1634.646mil","1095mil","1634.646mil","1095mil","1605.118mil","T","90.00","100n"
"C6","0603_Capacitor","370mil","2974.646mil","370mil","2974.646mil","370mil","3004.173mil","T","270.00","1µF"
"C10","0603_Capacitor","2152.5mil","2870mil","2152.5mil","2870mil","2122.972mil","2870mil","T","0.00","1u"
"C8","0603_Capacitor","48mil","3827.323mil","48mil","3827.323mil","48mil","3856.851mil","T","270.00","100n"
"C7","0603_Capacitor","155mil","2974.646mil","155mil","2974.646mil","155mil","3004.173mil","T","270.00","10u"
"D1","SODFL3616X98N","2340mil","3242.5mil","2340mil","3242.5mil","2280.945mil","3242.5mil","T","0.00","MBR120"
"D2","LED","2295.615mil","3091.685mil","2302.5mil","3095mil","2295.615mil","3129.087mil","T","0.00","ORANGE"
"D4","SODFL3616X98N","485mil","3040.59mil","485mil","3040.59mil","485mil","2981.535mil","T","90.00","MBR120"
"D5","LED","2484.385mil","3100.46mil","2477.5mil","3097.146mil","2484.385mil","3063.058mil","T","180.00","ORANGE"
"IC1","cp2104","1603.009mil","3322.096mil","1602.5mil","3322.146mil","1652.206mil","3400.836mil","T","180.00","CP2104-F03-GMR"
"Q1","SOT96P237X111-3N","1950.354mil","3517.5mil","1950.354mil","3517.5mil","1991.693mil","3479.902mil","T","180.00","MMBT2222ALT1G"
"Q2","SOT96P237X111-3N","1955.354mil","3332.5mil","1955.354mil","3332.5mil","1996.693mil","3294.902mil","T","180.00","MMBT2222ALT1G"
"Q3","SOT96P237X111-3N","650mil","3009.646mil","650mil","3009.646mil","608.661mil","3047.244mil","T","0.00","DMG3415U"
"R1","RES0603","2070.354mil","3421.084mil","2070.354mil","3421.084mil","2070.354mil","3450.612mil","T","270.00","10k 0603"
"R2","RES0603","1840.354mil","3487.972mil","1840.354mil","3487.972mil","1840.354mil","3458.444mil","T","90.00","10k 0603"
"R3","RES0603","2140.354mil","3421.084mil","2140.354mil","3421.084mil","2140.354mil","3391.556mil","T","90.00","10k 0603"
"R4","RES0603","1840.354mil","3362.028mil","1840.354mil","3362.028mil","1840.354mil","3391.556mil","T","270.00","10k 0603"
"R5","RES0603","2202.5mil","2992.618mil","2202.5mil","2992.618mil","2202.5mil","3022.145mil","T","270.00","10K"
"R6","RES0603","2052.815mil","3087.146mil","2052.815mil","3087.146mil","2082.343mil","3087.146mil","T","180.00","1K"
"R7","RES0603","2382.5mil","3082.146mil","2382.5mil","3082.146mil","2382.5mil","3111.673mil","T","270.00","1K"
"R8","RES0603","995mil","1729mil","995mil","1729mil","1024.528mil","1729mil","T","180.00","4k7 0603"
"R9","RES0603","840mil","1729mil","840mil","1729mil","810.472mil","1729mil","T","0.00","4k7 0603"
"R10","RES0603","340.472mil","3099.646mil","340.472mil","3099.646mil","310.944mil","3099.646mil","T","0.00","100K"
"S1","SS12D11G5R","728.976mil","3675.748mil","540mil","3494.646mil","540mil","3494.646mil","T","0.00","SS-12D11G5R (BAT Slide Switch)"
"T1","Battery_Connector","2348.87mil","3739.195mil","2347.5mil","3712.5mil","2309.5mil","3636.83mil","T","0.00","Battery Connector"
"U1","ESP32","793.894mil","2406.654mil","745mil","2364.646mil","449.209mil","2072.008mil","T","180.00","ESP32-WROOM-32__16MB_"
"U3","SOT95P270X145-5N","2072.5mil","2987.146mil","2072.5mil","2987.146mil","2023.287mil","3024.547mil","T","0.00","MCP73831-2-OT"
"U6","SOT95P270X145-5N","2072.5mil","2727.5mil","2072.5mil","2727.5mil","2023.287mil","2764.902mil","T","0.00","NOT GATE"
"U7","SON65P200X200X80-7N","260mil","3004.646mil","260mil","3004.646mil","301.339mil","2979.055mil","T","180.00","NCV8187AMT330TAG"
"R16","RES0603","1065mil","1545mil","1065mil","1545mil","1094.528mil","1545mil","T","180.00","10k 0603"
"R17","RES0603","1065mil","1482mil","1065mil","1482mil","1094.528mil","1482mil","T","180.00","10k 0603"

